,id,uid,sci_name,kingdom
654,1299,204215,Vitex trifolia,33090
655,1300,992677,Croton sylvaticus,33090
656,1303,272846,Asparagus racemosus,33090
657,1305,204144,Ocimum gratissimum,33090
658,1307,85213,Impatiens repens,33090
659,1308,50767,Metagentiana rhodantha,33090
660,1309,221762,Alternanthera sessilis,33090
661,1310,508682,Curcuma caesia,33090
662,1312,126910,Withania somnifera,33090
663,1314,748721,Anemone turczaninovii,33090
664,1315,138033,Vachellia nilotica,33090
665,1317,189799,Tamarix nilotica,33090
666,1318,43522,Morinda citrifolia,33090
667,1319,168188,Chamaecostus subsessilis,33090
668,1320,325741,Ferulago angulata,33090
669,1321,746493,Achyrocline satureioides,33090
670,1323,2873749,Mesostemma dichotomum,33090
671,1324,46367,Bupleurum falcatum,33090
672,1326,318062,Euphorbia hirta,33090
673,1328,3498,Morus alba,33090
