"","id","uid","sci_name"
"528",1011,"240005","Achyranthes aspera"
"529",1013,"38868","Salvia officinalis"
"530",1014,"41230","Marrubium vulgare"
"531",1015,"2839963","Zanthoxylum asiaticum"
"532",1017,"441178","Blumea densiflora"
"533",1017,"74872","Anopheles anthropophagus"
"534",1019,"4465","Acorus calamus"
"535",1020,"48106","Centella asiatica"
"536",1021,"2764691","Xanthium mongolicum"
"537",1022,"159357","Citronella gongonha"
"538",1024,"175694","Andrographis paniculata"
"539",1025,"63479","Nerium oleander"
"540",1027,"1255808","Polyalthia bullata"
"541",1028,"37565","Ruta graveolens"
"542",1033,"1387576","Caesalpinia bahamensis"
"543",1034,"252529","Citrullus colocynthis"
"544",1036,"2942076","Orchis hatagirea"
"545",1037,"928200","Eucomis autumnalis"
"546",1039,"434060","Prunus humilis"
"547",1040,"55670","Stevia rebaudiana"
"548",1042,"3498","Morus alba"
"549",1043,"932085","Pontibacter rhizosphera"
"550",1043,"63479","Nerium oleander"
"551",1052,"239565","Dryopteris fragrans"
"552",1052,"4097","Nicotiana tabacum"
"553",1055,"992840","Cordia dichotoma"
"554",1057,"34199","Aloe vera"
"555",1059,"40916","Crithmum maritimum"
"556",1061,"3735","Moringa oleifera"
"557",1061,"8128","Oreochromis niloticus"
"558",1062,"182111","Ficus deltoidea"
"559",1063,"555479","Nigella sativa"
"560",1064,"648879","Streblus asper"
"561",1065,"54477","Vitex agnus-castus"
"562",1066,"182084","Gynostemma pentaphyllum"
"563",1067,"48106","Centella asiatica"
"564",1068,"56065","Pongamia pinnata"
"565",1070,"405945","Leonurus sibiricus"
"566",1071,"49666","Paris polyphylla"
"567",1072,"3649","Carica papaya"
"568",1073,"1335104","Zingiber sp. LR-2013"
"569",1074,"59170","Valeriana jatamansi"
"570",1078,"41554","Coreopsis tinctoria"
"571",1079,"51089","Myristica fragrans"
"572",1079,"7955","Danio rerio"
"573",1080,"272846","Asparagus racemosus"
"574",1081,"266091","Gynochthodes officinalis"
"575",1083,"4054","Panax ginseng"
"576",1084,"425828","Lithocarpus litseifolius"
"577",1085,"22663","Punica granatum"
"578",1086,"204144","Ocimum gratissimum"
"579",1087,"2023335","endophytic bacterium"
"580",1087,"175694","Andrographis paniculata"
"581",1088,"158927","Calophyllum inophyllum"
"582",1088,"4932","Saccharomyces cerevisiae"
"583",1089,"377274","Melianthus comosus"
"584",1090,"65561","Hypericum perforatum"
"585",1091,"97729","Boesenbergia rotunda"
"586",1094,"68527","Aegle marmelos"
"587",1095,"16906","Cornus officinalis"
"588",1097,"346985","Senna obtusifolia"
"589",1098,"204215","Vitex trifolia"
"590",1099,"65557","Alcea rosea"
"591",1103,"41228","Plectranthus barbatus"
"592",1104,"4060","Rauvolfia serpentina"
"593",1106,"65561","Hypericum perforatum"
"594",1107,"48386","Perilla frutescens"
"595",1108,"93759","Corchorus olitorius"
"596",1109,"168495","Buddleja globosa"
"597",1110,"226208","Salvia miltiorrhiza"
"598",1111,"328401","Zanthoxylum bungeanum"
"599",1113,"2867270","Artemisia pallens"
"600",1113,"470","Acinetobacter baumannii"
"601",1114,"4058","Catharanthus roseus"
"602",1115,"182129","Ficus sycomorus"
"603",1117,"373122","Arnebia euchroma"
"604",1118,"63360","Liquidambar orientalis"
"605",1119,"857492","Desmodium gyrans"
"606",1120,"183266","Hibiscus surattensis"
"607",1121,"126910","Withania somnifera"
"608",1122,"13329","Achillea millefolium"
"609",1123,"1501483","Monochasma savatieri"
"610",1131,"1117157","Teucrium polium"
"611",1132,"83951","Oroxylum indicum"
"612",1134,"167911","Ajuga decumbens"
"613",1136,"69404","Atractylodes chinensis"
"614",1137,"271884","Antirhea borbonica"
"615",1138,"4072","Capsicum annuum"
"616",1138,"5872","Theileria equi"
"617",1138,"5868","Babesia microti"
"618",1140,"228533","Phanera scandens"
"619",1143,"379279","Prunus africana"
"620",1144,"41228","Plectranthus barbatus"
"621",1146,"118778","Tussilago farfara"
"622",1147,"480421","Pueraria candollei"
"623",1149,"1073321","Saraca asoca"
"624",1150,"1417791","Pelargonium sidoides"
"625",1151,"28513","Salvia divinorum"
"626",1152,"396313","Rhazya stricta"
"627",1153,"234379","Begonia homonyma"
"628",1154,"99300","Rehmannia glutinosa"
"629",1155,"3311","Ginkgo biloba"
"630",1156,"178647","Arracacia tolucensis"
"631",1160,"38868","Salvia officinalis"
"632",1161,"485705","Chlorophytum arundinaceum"
"633",1162,"43071","Eryngium planum"
"634",1164,"65409","Scutellaria baicalensis"
"635",1165,"3501","Urtica dioica"
"636",1166,"443222","Toona sinensis"
"637",1168,"83951","Oroxylum indicum"
"638",1169,"764185","Paramollugo nudicaulis"
"639",1171,"300990","Bridelia tomentosa"
"640",1174,"38868","Salvia officinalis"
"641",1175,"262757","Morella rubra"
"642",1176,"33125","Lepidium sativum"
"643",1177,"385002","Morella esculenta"
"644",1180,"482968","Mirabilis himalaica"
"645",1182,"386280","Changium smyrnioides"
"646",1183,"65561","Hypericum perforatum"
"647",1184,"176258","Rhododendron arboreum"
"648",1186,"537489","Rhinacanthus nasutus"
"649",1187,"86864","Codonopsis pilosula"
"650",1188,"48106","Centella asiatica"
"651",1189,"4058","Catharanthus roseus"
"652",1190,"701470","Echium amoenum"
"653",1192,"99506","Heracleum candicans"
"654",1194,"126910","Withania somnifera"
"655",1196,"92921","Silybum marianum"
"656",1198,"3662","Cucurbita moschata"
"657",1199,"2783874","Daphne mucronata"
"658",1201,"113208","Physalis angulata"
"659",1203,"54860","Narcissus tazetta"
"660",1206,"148671","Anadenanthera colubrina"
"661",1209,"119260","Cinnamomum aromaticum"
"662",1210,"182111","Ficus deltoidea"
"663",1211,"4164","Digitalis purpurea"
"664",1214,"1472148","Pouteria ramiflora"
"665",1217,"68875","Torenia fournieri"
"666",1217,"35608","Artemisia annua"
"667",1219,"49577","Hellenia speciosa"
"668",1221,"344358","Azorella compacta"
"669",1227,"2839963","Zanthoxylum asiaticum"
"670",1228,"35608","Artemisia annua"
"671",1229,"36777","Elaeagnus angustifolia"
"672",1230,"13217","Piper betle"
"673",1230,"184783","Areca catechu"
"674",1231,"124943","Azadirachta indica"
"675",1232,"389181","Jasminum grandiflorum"
